Predicted_Turbidity,Time
22.84081867806986,2024-01-26 20:00:00
22.405177112974226,2024-01-26 21:00:00
22.093105355584992,2024-01-26 22:00:00
21.728954063296317,2024-01-26 23:00:00
21.254885396469383,2024-01-27 00:00:00
20.839782301913946,2024-01-27 01:00:00
20.34231041347794,2024-01-27 02:00:00
19.717012579049914,2024-01-27 03:00:00
19.266686118297276,2024-01-27 04:00:00
18.960925454040055,2024-01-27 05:00:00
18.845156720203345,2024-01-27 06:00:00
18.521294728619978,2024-01-27 07:00:00
18.242142129298298,2024-01-27 08:00:00
18.054620575862934,2024-01-27 09:00:00
17.912959410961715,2024-01-27 10:00:00
17.883919741773976,2024-01-27 11:00:00
17.94688555229362,2024-01-27 12:00:00
17.97589641887974,2024-01-27 13:00:00
17.99507562818192,2024-01-27 14:00:00
18.02177010092232,2024-01-27 15:00:00
18.129933840138836,2024-01-27 16:00:00
18.169997151200658,2024-01-27 17:00:00
18.067090994572265,2024-01-27 18:00:00
18.07456083852332,2024-01-27 19:00:00
